Reach,DateTime,elev,width,D50,yield
upstream,4/16/2021 0:00,1746.6981018863012,0.0,63.54029283253195,2.1321344499793865e-17
upstream,4/16/2021 1:00,1746.6981026483945,0.0,63.54674578733599,2.1559117497852377e-17
upstream,4/16/2021 2:00,1746.698103792388,0.0,63.54661862027747,3.042653106432332e-17
upstream,4/16/2021 3:00,1746.6981044100114,0.0,63.54646980780443,3.1367054085600355e-17
upstream,4/16/2021 4:00,1746.6981051841024,0.0,63.54634928872192,4.043624180785044e-17
upstream,4/16/2021 5:00,1746.6981057406751,0.0,63.5462312919393,4.5047881957391695e-17
upstream,4/16/2021 6:00,1746.6981064266215,0.0,63.54613074247738,5.84801003480722e-17
upstream,4/16/2021 7:00,1746.6981069655133,0.0,63.54602929103097,6.724591353704245e-17
upstream,4/16/2021 8:00,1746.6981075604867,0.0,63.54593833861387,8.422663992143211e-17
upstream,4/16/2021 9:00,1746.6981078588012,0.0,63.54584846196783,7.931901793262703e-17
upstream,4/16/2021 10:00,1746.698108219037,0.0,63.54578124256141,8.870331945144527e-17
upstream,4/16/2021 11:00,1746.6981086432897,0.0,63.54572074300539,1.1287011994647295e-16
upstream,4/16/2021 12:00,1746.6981090187514,0.0,63.54565882506755,1.353853554267941e-16
upstream,4/16/2021 13:00,1746.6981095325002,0.0,63.54559984036176,1.9685399958491133e-16
upstream,4/16/2021 14:00,1746.6981100535158,0.0,63.54553200041717,2.738421916201504e-16
upstream,4/16/2021 15:00,1746.6981106539247,0.0,63.54545919127572,4.0338748507231103e-16
upstream,4/16/2021 16:00,1746.698111294436,0.0,63.54537798360263,5.930566088052359e-16
upstream,4/16/2021 17:00,1746.6981121497397,0.0,63.545289591073804,1.0012127371746095e-15
upstream,4/16/2021 18:00,1746.698112914767,0.0,63.54518162190259,1.4710986223970781e-15
upstream,4/16/2021 19:00,1746.6981141916347,0.0,63.54507058846687,2.9101747031838833e-15
upstream,4/16/2021 20:00,1746.6981156175773,0.0,63.544919993839436,5.408817304786866e-15
upstream,4/16/2021 21:00,1746.6981177780685,0.0,63.54473859675265,1.2129034271030176e-14
upstream,4/16/2021 22:00,1746.6981194297935,0.0,63.544487441800804,1.9762653485306788e-14
upstream,4/16/2021 23:00,1746.6981207520919,0.0,63.54423908625216,2.7927475510355984e-14
upstream,4/17/2021 0:00,1746.6981227730353,0.0,63.54401651293955,4.9873495918922796e-14
upstream,4/17/2021 1:00,1746.698124408936,0.0,63.54375514932618,7.266656194872633e-14
upstream,4/17/2021 2:00,1746.6981258234575,0.0,63.54350287806343,1.0243801232178795e-13
upstream,4/17/2021 3:00,1746.6981279886281,0.0,63.54327153595628,1.8267093758782653e-13
upstream,4/17/2021 4:00,1746.6981297898008,0.0,63.542995172548636,2.258131830131597e-13
upstream,4/17/2021 5:00,1746.6981310865358,0.0,63.54272320464073,2.381268231182144e-13
upstream,4/17/2021 6:00,1746.6981325543359,0.0,63.542490733854706,2.8033003821376397e-13
upstream,4/17/2021 7:00,1746.6981339915897,0.0,63.54226537632196,3.28746600177876e-13
upstream,4/17/2021 8:00,1746.6981354147867,0.0,63.54204584225722,3.8570289889050636e-13
upstream,4/17/2021 9:00,1746.6981366125976,0.0,63.54183026306119,4.16478619258879e-13
upstream,4/17/2021 10:00,1746.698137424829,0.0,63.54163335053315,3.904256154595177e-13
upstream,4/17/2021 11:00,1746.6981383319066,0.0,63.54147435366865,4.1365623028286155e-13
upstream,4/17/2021 12:00,1746.698139907499,0.0,63.54132729864845,6.186447955862745e-13
upstream,4/17/2021 13:00,1746.6981417319853,0.0,63.5411366660228,8.757284881079799e-13
upstream,4/17/2021 14:00,1746.698143097691,0.0,63.54090586560787,9.599237812198543e-13
upstream,4/17/2021 15:00,1746.6981456712485,0.0,63.54068893189585,1.5663269554666536e-12
upstream,4/17/2021 16:00,1746.6981477494928,0.0,63.540389747846895,1.8859541025388895e-12
upstream,4/17/2021 17:00,1746.6981513718529,0.0,63.54008603615001,3.1812345355730823e-12
upstream,4/17/2021 18:00,1746.6981583078646,0.0,63.539666806210924,7.119983783476406e-12
upstream,4/17/2021 19:00,1746.6981666284685,0.0,63.53894955133196,1.290174557413212e-11
upstream,4/17/2021 20:00,1746.6981764466786,0.0,63.53798517199353,2.2030410789595423e-11
upstream,4/17/2021 21:00,1746.6981896165178,0.0,63.53679156340092,4.0678918800920094e-11
upstream,4/17/2021 22:00,1746.6982025068182,0.0,63.535247437384285,6.355166872351967e-11
upstream,4/17/2021 23:00,1746.698209368887,0.0,63.53354923625851,6.665925203375276e-11
upstream,4/18/2021 0:00,1746.6982206226346,0.0,63.532198632161446,8.908697290666203e-11
upstream,4/18/2021 1:00,1746.6982308418164,0.0,63.53071238703563,1.0611407714927116e-10
upstream,4/18/2021 2:00,1746.6982405122405,0.0,63.529231601686774,1.2217657060135592e-10
upstream,4/18/2021 3:00,1746.6982514199365,0.0,63.527792440020434,1.5305987913372155e-10
upstream,4/18/2021 4:00,1746.6982619936607,0.0,63.52628717718767,1.8312981033375861e-10
upstream,4/18/2021 5:00,1746.6982706748288,0.0,63.524772654576594,1.9453065006005476e-10
upstream,4/18/2021 6:00,1746.6982806039105,0.0,63.52338697695628,2.328553824545429e-10
upstream,4/18/2021 7:00,1746.6982895538263,0.0,63.521978012650834,2.5918192064162555e-10
upstream,4/18/2021 8:00,1746.6982999701315,0.0,63.52062663754158,3.220966442195504e-10
upstream,4/18/2021 9:00,1746.6983070045187,0.0,63.519200924244565,3.1191436749847414e-10
upstream,4/18/2021 10:00,1746.69831395154,0.0,63.51797680061232,3.2045234002597243e-10
upstream,4/18/2021 11:00,1746.698318850767,0.0,63.51686018122124,2.878619024945835e-10
upstream,4/18/2021 12:00,1746.6983260463053,0.0,63.51594339721483,3.491963220082186e-10
upstream,4/18/2021 13:00,1746.6983333735966,0.0,63.514963029266525,4.118713817000031e-10
upstream,4/18/2021 14:00,1746.6983403285278,0.0,63.51394167526464,4.5971201096594183e-10
upstream,4/18/2021 15:00,1746.698350224581,0.0,63.51292644403968,6.444458650040694e-10
upstream,4/18/2021 16:00,1746.6983649750875,0.0,63.51170593727899,1.0694758544916425e-09
upstream,4/18/2021 17:00,1746.6983882499987,0.0,63.510043133257476,2.0402545593939073e-09
upstream,4/18/2021 18:00,1746.6984167501007,0.0,63.50757276135635,3.45012482486504e-09
upstream,4/18/2021 19:00,1746.6984644431755,0.0,63.50434917569579,7.277735195202889e-09
upstream,4/18/2021 20:00,1746.6985001022067,0.0,63.49947162648582,9.553565726220565e-09
upstream,4/18/2021 21:00,1746.6985091978368,0.0,63.49457757529174,6.995514165432543e-09
upstream,4/18/2021 22:00,1746.6985088350862,0.0,63.49145418286707,3.6053751658158926e-09
