Reach,DateTime,elev,width,D50,yield
upstream,4/16/2021 0:00,1746.6981004620939,0.0,63.54029283253195,5.212761860390659e-18
upstream,4/16/2021 0:15,1746.6981006985245,0.0,63.5468519081391,5.429720778163868e-18
upstream,4/16/2021 0:30,1746.6981009295644,0.0,63.546817055713326,5.578932614376769e-18
upstream,4/16/2021 0:45,1746.6981011896064,0.0,63.546782404079124,6.149198176008976e-18
upstream,4/16/2021 1:00,1746.6981013002778,0.0,63.54674569826469,4.6058169678718685e-18
upstream,4/16/2021 1:15,1746.6981015893118,0.0,63.546719070212184,6.335332717038425e-18
upstream,4/16/2021 1:30,1746.698101812339,0.0,63.54668421876741,6.499451605210342e-18
upstream,4/16/2021 1:45,1746.6981020148996,0.0,63.54665016351039,6.448693784259372e-18
upstream,4/16/2021 2:00,1746.6981021397062,0.0,63.54661802757659,5.3372608783385885e-18
upstream,4/16/2021 2:15,1746.69810252806,0.0,63.54659263633758,9.373330019467693e-18
upstream,4/16/2021 2:30,1746.6981028233886,0.0,63.54655102785266,1.0344536382329995e-17
upstream,4/16/2021 2:45,1746.6981030914258,0.0,63.54650822645332,1.0750449602110467e-17
upstream,4/16/2021 3:00,1746.698103281241,0.0,63.54646685381801,9.706481993840273e-18
upstream,4/16/2021 3:15,1746.6981033211418,0.0,63.5464320042355,6.031422891456114e-18
upstream,4/16/2021 3:30,1746.6981035813342,0.0,63.54641157812943,9.367331196395137e-18
upstream,4/16/2021 3:45,1746.6981038925385,0.0,63.54638196670072,1.3067393972610976e-17
upstream,4/16/2021 4:00,1746.698104076232,0.0,63.54634398085982,1.2203321054668186e-17
upstream,4/16/2021 4:15,1746.6981042829123,0.0,63.54631128169672,1.2885442390791519e-17
upstream,4/16/2021 4:30,1746.6981044226175,0.0,63.546279518849985,1.1566457955809434e-17
upstream,4/16/2021 4:45,1746.698104616119,0.0,63.54625320623771,1.317859399661956e-17
upstream,4/16/2021 5:00,1746.6981047735164,0.0,63.54622561697477,1.3228612943448531e-17
upstream,4/16/2021 5:15,1746.6981049345827,0.0,63.546200075979314,1.389551194895839e-17
upstream,4/16/2021 5:30,1746.6981050683266,0.0,63.546175286487916,1.3534150237003758e-17
upstream,4/16/2021 5:45,1746.6981052948754,0.0,63.546152907731326,1.840622135540291e-17
upstream,4/16/2021 6:00,1746.6981055607594,0.0,63.546124825364686,2.4264709175715476e-17
upstream,4/16/2021 6:15,1746.698105676017,0.0,63.54609097054298,1.9844991833445393e-17
upstream,4/16/2021 6:30,1746.6981058451358,0.0,63.54606543027591,2.1330033254095072e-17
upstream,4/16/2021 6:45,1746.6981059214388,0.0,63.54604004200839,1.659913485228973e-17
upstream,4/16/2021 7:00,1746.6981061405365,0.0,63.54602164507634,2.47813550162745e-17
upstream,4/16/2021 7:15,1746.6981062331197,0.0,63.545996105184244,2.052374863019063e-17
upstream,4/16/2021 7:30,1746.6981063921207,0.0,63.545976418741475,2.4260705398387685e-17
upstream,4/16/2021 7:45,1746.6981065729872,0.0,63.5459547103709,2.928224298333897e-17
upstream,4/16/2021 8:00,1746.6981067688534,0.0,63.545930363082036,3.48012805689617e-17
upstream,4/16/2021 8:15,1746.6981068663567,0.0,63.545903581078605,2.8861309926113445e-17
upstream,4/16/2021 8:30,1746.6981070826405,0.0,63.545882905918795,3.9786768740008785e-17
upstream,4/16/2021 8:45,1746.6981071338244,0.0,63.545856438683685,2.7480580039869766e-17
upstream,4/16/2021 9:00,1746.6981072690494,0.0,63.54583937570224,3.1912603202155974e-17
upstream,4/16/2021 9:15,1746.6981073548584,0.0,63.54582075044923,2.870288037592227e-17
upstream,4/16/2021 9:30,1746.6981074535727,0.0,63.545805032178066,2.94884606343986e-17
upstream,4/16/2021 9:45,1746.6981075904387,0.0,63.5457898043094,3.657610199020816e-17
upstream,4/16/2021 10:00,1746.698107695305,0.0,63.54577197376356,3.653962897222294e-17
upstream,4/16/2021 10:15,1746.6981077733687,0.0,63.54575523058287,3.2895552807139396e-17
upstream,4/16/2021 10:30,1746.6981078477743,0.0,63.54574103182638,3.0972436598701277e-17
upstream,4/16/2021 10:45,1746.6981079944928,0.0,63.54572837838845,4.457519739119784e-17
upstream,4/16/2021 11:00,1746.6981080504595,0.0,63.545711099719725,3.517105393983524e-17
upstream,4/16/2021 11:15,1746.6981082251204,0.0,63.545698282758494,5.637506211784137e-17
upstream,4/16/2021 11:30,1746.6981082744492,0.0,63.54567883820136,4.1505808033325813e-17
upstream,4/16/2021 11:45,1746.6981084118001,0.0,63.54566543300962,5.553990839138703e-17
upstream,4/16/2021 12:00,1746.6981084983768,0.0,63.54564847784205,5.215551449699638e-17
upstream,4/16/2021 12:15,1746.6981085613959,0.0,63.54563353778761,4.514919552260723e-17
upstream,4/16/2021 12:30,1746.6981087157317,0.0,63.54562136378192,6.900645722404585e-17
upstream,4/16/2021 12:45,1746.6981087941576,0.0,63.54560375650049,6.139572641972579e-17
upstream,4/16/2021 13:00,1746.698108921691,0.0,63.54558909882585,7.504496299158766e-17
upstream,4/16/2021 13:15,1746.6981089838735,0.0,63.54557225042561,6.217709882712029e-17
upstream,4/16/2021 13:30,1746.6981091650055,0.0,63.54555918473279,1.0136584912702271e-16
upstream,4/16/2021 13:45,1746.6981092786534,0.0,63.54553913412487,1.0053589673831876e-16
upstream,4/16/2021 14:00,1746.6981093733748,0.0,63.54552062491191,9.51495546185783e-17
upstream,4/16/2021 14:15,1746.6981095245335,0.0,63.545504299903854,1.2131283867425096e-16
upstream,4/16/2021 14:30,1746.6981096484635,0.0,63.54548485614554,1.2733024445596168e-16
upstream,4/16/2021 14:45,1746.6981097647738,0.0,63.54546588392217,1.3109740639760167e-16
upstream,4/16/2021 15:00,1746.6981098730946,0.0,63.54544771584579,1.3312732428858704e-16
upstream,4/16/2021 15:15,1746.6981100185963,0.0,63.54543054659037,1.6192073074979872e-16
upstream,4/16/2021 15:30,1746.6981101472516,0.0,63.54541110313583,1.7346657241365021e-16
upstream,4/16/2021 15:45,1746.6981103663095,0.0,63.545391779135834,2.5321618964288193e-16
upstream,4/16/2021 16:00,1746.6981104384947,0.0,63.54536578163611,1.9409892317983418e-16
upstream,4/16/2021 16:15,1746.6981107169834,0.0,63.54534738733079,3.4440947797193012e-16
upstream,4/16/2021 16:30,1746.6981107376178,0.0,63.54531743326919,2.063839716091036e-16
upstream,4/16/2021 16:45,1746.6981109671515,0.0,63.54530090137324,3.4253954150970723e-16
upstream,4/16/2021 17:00,1746.6981111824944,0.0,63.54527551721706,4.2504639299368837e-16
upstream,4/16/2021 17:15,1746.6981113199936,0.0,63.54524677033643,3.98048097644395e-16
upstream,4/16/2021 17:30,1746.6981114890946,0.0,63.54522213359474,4.3958971741458634e-16
upstream,4/16/2021 17:45,1746.6981117236937,0.0,63.545197200694545,5.798041431648378e-16
upstream,4/16/2021 18:00,1746.6981118672086,0.0,63.54516724758611,5.446790289288646e-16
upstream,4/16/2021 18:15,1746.6981119912498,0.0,63.545141559667144,5.106699944786875e-16
upstream,4/16/2021 18:30,1746.6981122868233,0.0,63.545119456283466,8.40790229522027e-16
upstream,4/16/2021 18:45,1746.6981124835268,0.0,63.54508638401131,8.758285927201019e-16
upstream,4/16/2021 19:00,1746.6981127868955,0.0,63.545055179939716,1.1925863363596574e-15
upstream,4/16/2021 19:15,1746.698112956529,0.0,63.54501698716567,1.0970299550573685e-15
upstream,4/16/2021 19:30,1746.6981132219628,0.0,63.54498523302854,1.366876697849383e-15
upstream,4/16/2021 19:45,1746.698113601139,0.0,63.544949582420784,1.983609879424381e-15
