Reach,DateTime,elev,width,D50,yield
upstream,4/16/2021 0:00,1746.698100073716,0.0,63.54029283253195,8.1870574749368395e-19
upstream,4/16/2021 1:00,1746.698100103253,0.0,63.54688084252547,7.390019630440379e-19
upstream,4/16/2021 2:00,1746.698100148246,0.0,63.54687588528715,8.722418358995411e-19
upstream,4/16/2021 3:00,1746.6981001719596,0.0,63.546870047276386,7.030759229124283e-19
upstream,4/16/2021 4:00,1746.6981002020107,0.0,63.546865357818646,6.89926155437553e-19
upstream,4/16/2021 5:00,1746.6981002234147,0.0,63.54686076937893,5.869540282026753e-19
upstream,4/16/2021 6:00,1746.6981002499617,0.0,63.54685687701696,5.941408706861906e-19
upstream,4/16/2021 7:00,1746.698100270687,0.0,63.546852948735506,5.329032888876249e-19
upstream,4/16/2021 8:00,1746.6981002936395,0.0,63.546849437194936,5.28174357465974e-19
upstream,4/16/2021 9:00,1746.6981003050357,0.0,63.54684596771454,3.9494690182732176e-19
upstream,4/16/2021 10:00,1746.6981003188866,0.0,63.546843382144985,3.5641098192113827e-19
upstream,4/16/2021 11:00,1746.698100335201,0.0,63.54684105524931,3.656812400327072e-19
upstream,4/16/2021 12:00,1746.6981003496376,0.0,63.54683867376744,3.4930145021617126e-19
upstream,4/16/2021 13:00,1746.6981003693968,0.0,63.54683640520814,4.028288651260928e-19
upstream,4/16/2021 14:00,1746.6981003894398,0.0,63.546833795619996,4.337586292825132e-19
upstream,4/16/2021 15:00,1746.698100412592,0.0,63.54683099436315,4.863526982565547e-19
upstream,4/16/2021 16:00,1746.6981004373288,0.0,63.54682786520825,5.324881139428911e-19
upstream,4/16/2021 17:00,1746.6981004705842,0.0,63.546824453670745,6.569524891903307e-19
upstream,4/16/2021 18:00,1746.6981005002758,0.0,63.54682026497579,6.803956048090293e-19
upstream,4/16/2021 19:00,1746.6981005505988,0.0,63.54681595379318,9.394803766382796e-19
upstream,4/16/2021 20:00,1746.698100607209,0.0,63.54681004092577,1.1519721006823667e-18
upstream,4/16/2021 21:00,1746.6981006945973,0.0,63.54680285781718,1.640340978811434e-18
upstream,4/16/2021 22:00,1746.6981007607576,0.0,63.54679274160493,1.6451643247509027e-18
upstream,4/16/2021 23:00,1746.6981008131097,0.0,63.5467827438129,1.4873114837591693e-18
upstream,4/17/2021 0:00,1746.6981008947735,0.0,63.54677383613762,1.785772504959983e-18
upstream,4/17/2021 1:00,1746.698100960273,0.0,63.54676328533999,1.746933090387106e-18
upstream,4/17/2021 2:00,1746.698101016477,0.0,63.546753119508416,1.6185135796926735e-18
upstream,4/17/2021 3:00,1746.698101104378,0.0,63.54674384024239,1.9816815048702745e-18
upstream,4/17/2021 4:00,1746.6981011768437,0.0,63.54673263786326,1.979847714882212e-18
upstream,4/17/2021 5:00,1746.698101228044,0.0,63.54672162630673,1.7042577047204836e-18
upstream,4/17/2021 6:00,1746.6981012864999,0.0,63.5467122977718,1.6729509463124128e-18
upstream,4/17/2021 7:00,1746.6981013436782,0.0,63.54670326908883,1.6501174409843193e-18
upstream,4/17/2021 8:00,1746.6981014002743,0.0,63.546694485745874,1.6409304080152805e-18
upstream,4/17/2021 9:00,1746.6981014474995,0.0,63.54668586855358,1.5119371416856352e-18
upstream,4/17/2021 10:00,1746.6981014789098,0.0,63.54667803406456,1.2234616551798296e-18
upstream,4/17/2021 11:00,1746.6981015142874,0.0,63.546671771714564,1.1394043886353843e-18
upstream,4/17/2021 12:00,1746.698101577062,0.0,63.54666599924648,1.5091361896373825e-18
upstream,4/17/2021 13:00,1746.698101650388,0.0,63.546658426187136,1.8678257492613754e-18
upstream,4/17/2021 14:00,1746.698101704577,0.0,63.546649165097485,1.7750609752088386e-18
upstream,4/17/2021 15:00,1746.6981018100669,0.0,63.546640488759884,2.5331489215735927e-18
upstream,4/17/2021 16:00,1746.6981018945683,0.0,63.54662827480913,2.621540450964733e-18
upstream,4/17/2021 17:00,1746.6981020487756,0.0,63.546615859027334,3.810142812842426e-18
upstream,4/17/2021 18:00,1746.698102367707,0.0,63.54659813823198,7.198599046518334e-18
upstream,4/17/2021 19:00,1746.6981027673935,0.0,63.546565466408,1.0576087418802044e-17
upstream,4/17/2021 20:00,1746.6981032566428,0.0,63.54651929063114,1.435812431004728e-17
upstream,4/17/2021 21:00,1746.69810394817,0.0,63.54645967653511,2.0889566992913933e-17
upstream,4/17/2021 22:00,1746.698104626881,0.0,63.546378254489525,2.537452596822746e-17
upstream,4/17/2021 23:00,1746.6981049433036,0.0,63.546286898137296,2.090049942046872e-17
upstream,4/18/2021 0:00,1746.698105521908,0.0,63.546217583729124,2.5351061259571762e-17
upstream,4/18/2021 1:00,1746.698106039105,0.0,63.54613973892767,2.7464426926887805e-17
upstream,4/18/2021 2:00,1746.6981065237644,0.0,63.54606221027308,2.894051768196115e-17
upstream,4/18/2021 3:00,1746.6981070819693,0.0,63.54598726578675,3.339286640401072e-17
upstream,4/18/2021 4:00,1746.6981076203565,0.0,63.545908131888126,3.6949784844762703e-17
upstream,4/18/2021 5:00,1746.698108046221,0.0,63.545828381107434,3.651253664293475e-17
upstream,4/18/2021 6:00,1746.6981085462508,0.0,63.54575671212663,4.0904447135548484e-17
upstream,4/18/2021 7:00,1746.6981089881415,0.0,63.54568355350382,4.2819185738378926e-17
upstream,4/18/2021 8:00,1746.698109517055,0.0,63.54561398965687,5.0309042598022036e-17
upstream,4/18/2021 9:00,1746.6981098468348,0.0,63.54553972991822,4.6269613676925337e-17
upstream,4/18/2021 10:00,1746.6981101739752,0.0,63.545477984153486,4.54586384136951e-17
upstream,4/18/2021 11:00,1746.6981103893565,0.0,63.54542269337691,3.927245368660489e-17
upstream,4/18/2021 12:00,1746.6981107308686,0.0,63.54537897229302,4.5997236211928556e-17
upstream,4/18/2021 13:00,1746.698111079938,0.0,63.54533162142594,5.249655442212548e-17
upstream,4/18/2021 14:00,1746.698111408483,0.0,63.545281891932525,5.684998331937565e-17
upstream,4/18/2021 15:00,1746.6981119032587,0.0,63.54523250533388,7.741318601046404e-17
upstream,4/18/2021 16:00,1746.6981126910814,0.0,63.54517088341305,1.2486909284628722e-16
upstream,4/18/2021 17:00,1746.6981140260434,0.0,63.54508129890013,2.314092483845501e-16
upstream,4/18/2021 18:00,1746.6981157275804,0.0,63.544937089779886,3.816488965420801e-16
upstream,4/18/2021 19:00,1746.6981187799909,0.0,63.544738454261534,7.893143416248046e-16
upstream,4/18/2021 20:00,1746.6981209965488,0.0,63.544412944769064,1.0322040913755406e-15
upstream,4/18/2021 21:00,1746.698121369653,0.0,63.544085761608514,7.622941127078595e-16
upstream,4/18/2021 22:00,1746.6981212045725,0.0,63.54389390697541,3.9583035680251823e-16
upstream,4/18/2021 23:00,1746.6981210238234,0.0,63.543810055081124,1.5255653094488812e-16
upstream,4/19/2021 0:00,1746.6981211084565,0.0,63.5437816082134,1.182988568449455e-16
upstream,4/19/2021 1:00,1746.6981212771714,0.0,63.54376107010572,1.3955317446905898e-16
upstream,4/19/2021 2:00,1746.6981215205262,0.0,63.54373821289761,1.9197710348010314e-16
upstream,4/19/2021 3:00,1746.6981216756697,0.0,63.543708626095054,1.8361498959951916e-16
upstream,4/19/2021 4:00,1746.6981218784085,0.0,63.543682257421366,2.1031835135729996e-16
upstream,4/19/2021 5:00,1746.6981220125126,0.0,63.54365394578031,1.9190677825175164e-16
upstream,4/19/2021 6:00,1746.6981222529569,0.0,63.54362978441622,2.531622400652502e-16
upstream,4/19/2021 7:00,1746.698122343492,0.0,63.54359976323846,1.963661530114502e-16
upstream,4/19/2021 8:00,1746.6981224292495,0.0,63.543577998060094,1.6469727570244146e-16
upstream,4/19/2021 9:00,1746.6981226118698,0.0,63.543560717098785,2.225091200516294e-16
upstream,4/19/2021 10:00,1746.6981228484856,0.0,63.54353845116796,3.0379418909735975e-16
upstream,4/19/2021 11:00,1746.6981230661186,0.0,63.54350966377348,3.4422089111249803e-16
upstream,4/19/2021 12:00,1746.698123353653,0.0,63.54347903211878,4.408241901038738e-16
upstream,4/19/2021 13:00,1746.698123589236,0.0,63.543442263801545,4.627556492560434e-16
upstream,4/19/2021 14:00,1746.698123842808,0.0,63.543406303140216,5.087000265646366e-16
