Reach,DateTime,elev,width,D50,slope,yield
upstream,2020-04-01 00:00:00,1579.524900000174,0.0,63.052759955548474,-0.015043220338983608,0.0
upstream,2020-04-01 00:30:00,1579.5249000002611,0.0,63.04842125121572,-0.015042952849304299,0.0
upstream,2020-04-01 01:00:00,1579.5249000003482,0.0,63.048421238790134,-0.015042685544998121,0.0
upstream,2020-04-01 01:30:00,1579.5249000004353,0.0,63.04842122636463,-0.015042418426269327,0.0
upstream,2020-04-01 02:00:00,1579.5249000005224,0.0,63.04842121393905,-0.015042151492971475,0.0
upstream,2020-04-01 02:30:00,1579.5249000006095,0.0,63.04842120151358,-0.015041884744958116,0.0
upstream,2020-04-01 03:00:00,1579.5249000006966,0.0,63.048421189088046,-0.01504161818208281,0.0
upstream,2020-04-01 03:30:00,1579.5249000007836,0.0,63.048421176662565,-0.015041351804199113,0.0
upstream,2020-04-01 04:00:00,1579.5249000008707,0.0,63.04842116423699,-0.015041085611160578,0.0
upstream,2020-04-01 04:30:00,1579.5249000009578,0.0,63.048421151811446,-0.015040819602820762,0.0
upstream,2020-04-01 05:00:00,1579.524900001045,0.0,63.048421139385944,-0.015040553779033223,0.0
upstream,2020-04-01 05:30:00,1579.524900001132,0.0,63.04842112696046,-0.015040288139651517,0.0
upstream,2020-04-01 06:00:00,1579.524900001219,0.0,63.04842111453493,-0.015040022684531123,0.0
upstream,2020-04-01 06:30:00,1579.5249000013062,0.0,63.048421102109344,-0.015039757413523673,0.0
upstream,2020-04-01 07:00:00,1579.5249000013932,0.0,63.04842108968388,-0.015039492327068497,0.0
upstream,2020-04-01 07:30:00,1579.5249000014803,0.0,63.04842107725829,-0.015039227424435305,0.0
upstream,2020-04-01 08:00:00,1579.5249000015674,0.0,63.04842106483283,-0.015038962705479577,0.0
upstream,2020-04-01 08:30:00,1579.5249000016545,0.0,63.04842105240728,-0.015038698170054871,0.0
upstream,2020-04-01 09:00:00,1579.5249000017416,0.0,63.04842103998179,-0.015038433818016667,0.0
upstream,2020-04-01 09:30:00,1579.5249000018287,0.0,63.04842102755627,-0.015038169649218523,0.0
upstream,2020-04-01 10:00:00,1579.5249000019157,0.0,63.04842101513069,-0.01503790566351785,0.0
upstream,2020-04-01 10:30:00,1579.5249000020028,0.0,63.04842100270519,-0.015037641860766275,0.0
upstream,2020-04-01 11:00:00,1579.52490000209,0.0,63.04842099027969,-0.015037378240821207,0.0
upstream,2020-04-01 11:30:00,1579.524900002177,0.0,63.04842097785421,-0.01503711480353813,0.0
upstream,2020-04-01 12:00:00,1579.524900002264,0.0,63.04842096542863,-0.0150368515487706,0.0
upstream,2020-04-01 12:30:00,1579.5249000039269,0.0,63.04842095300313,-0.015036588476376029,0.0
upstream,2020-04-01 13:00:00,1579.5249000139122,0.0,63.048420828228686,-0.015035748886267526,0.0
upstream,2020-04-01 13:30:00,1579.524900011839,0.0,63.048420053791894,-0.015033857979992486,0.0
upstream,2020-04-01 14:00:00,1579.5249000119104,0.0,63.048419814405854,-0.01503272957920556,0.0
upstream,2020-04-01 14:30:00,1579.5249000112096,0.0,63.04841968963146,-0.015031895313026618,0.0
upstream,2020-04-01 15:00:00,1579.5249000112967,0.0,63.04841967720595,-0.015031634914956897,0.0
upstream,2020-04-01 15:30:00,1579.5249000113838,0.0,63.04841966478049,-0.01503137469679178,0.0
upstream,2020-04-01 16:00:00,1579.5249000116996,0.0,63.048419652354916,-0.015031114658390602,0.0
upstream,2020-04-01 16:30:00,1579.5249000116723,0.0,63.04841962363307,-0.015030710074711351,0.0
upstream,2020-04-01 17:00:00,1579.5249000117594,0.0,63.04841961120752,-0.01503045047965801,0.0
upstream,2020-04-01 17:30:00,1579.5249000118465,0.0,63.04841959878202,-0.015030191063875325,0.0
upstream,2020-04-01 18:00:00,1579.5249000119336,0.0,63.048419586356474,-0.015029931827211069,0.0
upstream,2020-04-01 18:30:00,1579.5249000120207,0.0,63.048419573930964,-0.015029672769534215,0.0
upstream,2020-04-01 19:00:00,1579.5249000121078,0.0,63.048419561505504,-0.015029413890698317,0.0
upstream,2020-04-01 19:30:00,1579.5249000121948,0.0,63.04841954907993,-0.015029155190555006,0.0
upstream,2020-04-01 20:00:00,1579.524900012282,0.0,63.04841953665441,-0.015028896668971324,0.0
upstream,2020-04-01 20:30:00,1579.524900012369,0.0,63.04841952422886,-0.015028638325802758,0.0
upstream,2020-04-01 21:00:00,1579.524900012456,0.0,63.04841951180342,-0.01502838016090286,0.0
upstream,2020-04-01 21:30:00,1579.5249000125432,0.0,63.04841949937789,-0.015028122174132894,0.0
upstream,2020-04-01 22:00:00,1579.5249000126303,0.0,63.04841948695236,-0.015027864365354124,0.0
upstream,2020-04-01 22:30:00,1579.5249000127174,0.0,63.04841947452682,-0.01502760673442396,0.0
upstream,2020-04-01 23:00:00,1579.5249000128044,0.0,63.04841946210131,-0.015027349281199812,0.0
upstream,2020-04-01 23:30:00,1579.5249000128915,0.0,63.048419449675805,-0.015027092005541016,0.0
upstream,2020-04-02 00:00:00,1579.5249000129786,0.0,63.0484194372503,-0.015026834907308835,0.0
upstream,2020-04-02 00:30:00,1579.5249000130657,0.0,63.04841942482475,-0.015026577986360682,0.0
upstream,2020-04-02 01:00:00,1579.5249000131528,0.0,63.04841941239925,-0.015026321242553962,0.0
upstream,2020-04-02 01:30:00,1579.5249000132399,0.0,63.0484193999737,-0.015026064675751868,0.0
upstream,2020-04-02 02:00:00,1579.524900013327,0.0,63.04841938754819,-0.015025808285807955,0.0
