Reach,DateTime,elev,width,D50,yield
upstream,4/16/2021 0:00,1746.6981018863012,0.0,63.54029283253195,2.1321344499793865e-17
upstream,4/16/2021 1:00,1746.6981026483945,0.0,63.54674578733599,1.9411153938540874e-17
upstream,4/16/2021 2:00,1746.698103792388,0.0,63.54661862027747,2.3176992548315743e-17
upstream,4/16/2021 3:00,1746.6981044100114,0.0,63.54646980780443,1.896295640476899e-17
upstream,4/16/2021 4:00,1746.6981051841024,0.0,63.54634928872192,1.8890528103554327e-17
upstream,4/16/2021 5:00,1746.6981057406751,0.0,63.5462312919393,1.6342444206468084e-17
upstream,4/16/2021 6:00,1746.6981064266215,0.0,63.54613074247738,1.682391163585139e-17
upstream,4/16/2021 7:00,1746.6981069655133,0.0,63.54602929103097,1.537561296083333e-17
upstream,4/16/2021 8:00,1746.6981075604867,0.0,63.54593833861387,1.553291267390487e-17
upstream,4/16/2021 9:00,1746.6981078588012,0.0,63.54584846196783,1.1834685826021015e-17
upstream,4/16/2021 10:00,1746.698108219037,0.0,63.54578124256141,1.0841202751478759e-17
upstream,4/16/2021 11:00,1746.6981086432897,0.0,63.54572074300539,1.1278792944087657e-17
upstream,4/16/2021 12:00,1746.6981090187514,0.0,63.54565882506755,1.092662333757611e-17
upstream,4/16/2021 13:00,1746.6981095325002,0.0,63.54559984036176,1.2775075161164709e-17
upstream,4/16/2021 14:00,1746.6981100535158,0.0,63.54553200041717,1.39676168084369e-17
upstream,4/16/2021 15:00,1746.6981106539247,0.0,63.54545919127572,1.5916376150627106e-17
upstream,4/16/2021 16:00,1746.698111294436,0.0,63.54537798360263,1.7735145764097845e-17
upstream,4/16/2021 17:00,1746.6981121497397,0.0,63.545289591073804,2.2296382770665527e-17
upstream,4/16/2021 18:00,1746.698112914767,0.0,63.54518162190259,2.3594971554211395e-17
upstream,4/16/2021 19:00,1746.6981141916347,0.0,63.54507058846687,3.331552355018712e-17
upstream,4/16/2021 20:00,1746.6981156175773,0.0,63.544919993839436,4.198862770262366e-17
upstream,4/16/2021 21:00,1746.6981177780685,0.0,63.54473859675265,6.173363677288549e-17
upstream,4/16/2021 22:00,1746.6981194297935,0.0,63.544487441800804,6.45087494236276e-17
upstream,4/16/2021 23:00,1746.6981207520919,0.0,63.54423908625216,6.086261192758134e-17
upstream,4/17/2021 0:00,1746.6981227730353,0.0,63.54401651293955,7.623268945045646e-17
upstream,4/17/2021 1:00,1746.698124408936,0.0,63.54375514932618,7.82868586819384e-17
upstream,4/17/2021 2:00,1746.6981258234575,0.0,63.54350287806343,7.621170573964704e-17
upstream,4/17/2021 3:00,1746.6981279886281,0.0,63.54327153595628,9.802558698129854e-17
upstream,4/17/2021 4:00,1746.6981297898008,0.0,63.542995172548636,1.0365839354630412e-16
upstream,4/17/2021 5:00,1746.6981310865358,0.0,63.54272320464073,9.455991631456155e-17
upstream,4/17/2021 6:00,1746.6981325543359,0.0,63.542490733854706,9.803148151772899e-17
upstream,4/17/2021 7:00,1746.6981339915897,0.0,63.54226537632196,1.0218037758266924e-16
upstream,4/17/2021 8:00,1746.6981354147867,0.0,63.54204584225722,1.0744518211570537e-16
upstream,4/17/2021 9:00,1746.6981366125976,0.0,63.54183026306119,1.0475072804672483e-16
upstream,4/17/2021 10:00,1746.698137424829,0.0,63.54163335053315,8.951162017917916e-17
upstream,4/17/2021 11:00,1746.6981383319066,0.0,63.54147435366865,8.752502559346016e-17
upstream,4/17/2021 12:00,1746.698139907499,0.0,63.54132729864845,1.2159302916567982e-16
upstream,4/17/2021 13:00,1746.6981417319853,0.0,63.5411366660228,1.593439302962726e-16
upstream,4/17/2021 14:00,1746.698143097691,0.0,63.54090586560783,1.6159547986764933e-16
upstream,4/17/2021 15:00,1746.6981456712485,0.0,63.54068893189588,2.4599323230850184e-16
upstream,4/17/2021 16:00,1746.6981477494928,0.0,63.54038974784682,2.755186498234862e-16
upstream,4/17/2021 17:00,1746.6981513718529,0.0,63.54008603615009,4.347521923918466e-16
upstream,4/17/2021 18:00,1746.6981583078646,0.0,63.53966680621085,9.096637610267624e-16
